agenda_id,doc_id,page_range
9.8.2,R1-2409153,Entire document
9.7.1,CR-Form.zip,
9.4.2.1,R1-2400077,
9.1.2,R1-2410377,Entire document
9.11.4,R1-2402486,
9.11.1,R1-2403139,
9.1.3.2,R1-2406871,1-6
8.4,R1-2401533,Entire document
9.1.4.1,R1-2409928,
9,R1-2406911,
9.4.2.2,R1-2407611,entire document
8.12.3,R1-2401619,
9.11.4,R1-2401061,
8.1,R1-2410852,Entire document
9.8.1,R1-2408095,
9.3.2,R1-2405281,Entire document
9.2.1,R1-2406521,
9.10.1,R1-2406614,Entire document
9.11.3,R1-2406513,entire document
,R1-2404149,
9.7.1,R1-2403920,1-24
9.4.2.3,R1-2408570,1-4
8.11,R1-2401521,Entire document
8.4,R1-2403627,entire
9.10.1,R1-2404566,
9.4.2.1,R1-2402668,
9.5.2,R1-2403251,
CR-0627,R1-2405537,
9.11.4,R1-2402375,
,R1-2410708,
9.1.3.1,R1-2406389,Entire document
9.3.2,R1-2404740,
9.3.1,R1-2404281,Entire document
9.6.2,R1-2404136,
9.4.1.2,R1-2405988,
9.4.1.1,R1-2410024,Entire document
8.1,R1-2404790,1-17
9.4.2.3,R1-2403844,
RAN1-NTN-Ph3-Core,R1-2406236,
,R1-2407504,
9.4.1.2,R1-2409067,
9.11.2,R1-2403030,Entire document
12,R1-2410937,
9.11.1,R1-2400875,
9.3.1,R1-2410545,
9.2.2,R1-2406311,
9.4.2.1,R1-2406405,1-30
9.11.1,R1-2400303,
9.2.1,R1-2401681,Entire document
9.2.1,R1-2408108,
9.11.3,R1-2408035,
9.4.2.1,R1-2405216,entire document
9.1.3.2,R1-2405960,Entire document
9.7.2,R1-2403160,
NR_MBS-Core,38.211 CR,
8.2.2,R1-2405104,
9.1.3.2,R1-2410151,
9.2.2,R1-2403847,all
9.6.2,R1-2402611,
9.2.1,R1-2407698,
9.2.4,R1-2407005,
9.8.2,R1-2408089,1-10
9.3.2,R1-2402715,
9.5.1,R1-2410781,Full Document
NR_MIMO_evo_DL_UL-Core,R1-2406347,
9.4.2.2,R1-2402970,
9.1.3.3,R1-2406976,
9.1.3.3,R1-2403490,Entire document
8.2,R1-2408767,Full document
,R1-2402700,
9.8.1,R1-2409738,Entire document
8.3,R1-2401628,Full document
NR_SL_enh2-Core,R1-2408517,1-3
NR_SL_enh2-Core,R1-2404843,
9.1.1,R1-2408533,
5,R1-2409916,
9.4.2.1,R1-2400872,
8.2.1,R1-2405409,32/35
9.7.2,R1-240xxxx,
9.7.2,R1-2406250,
9.6.2,R1-2401336,
9.5.2,R1-2408133,
9.1.4.1,R1-2408914,
9.2.4,R1-2406026,
9.6.1,R1-2405073,
9.5.1,R1-2407738,1-4
7.1,R1-2401832,
9.6.3,R1-2400125,
9.11.3,R1-2406591,
9.4.1.2,R1-2404501,
9.2.3,R1-2400555,
8.1,R1-2409181,
9.4,R1-2410703,
9.7.2,R1-2404513,
9.3.3,R1-2408527,
9.1.3.1,R1-2404147,
9.2.3,R1-2405879,
9.5.2,R1-2409016,Sections 2-4
NR_SL_enh2-Core,R1-2403668,
7.2.2,Unknown,
9.4.2.4,R1-2400061,Entire document
9.5.1,R1-2407056,
FS_NR_duplex_evo,R1-2407891,
9.1.3.1,R1-2401477,
7,R1-2406821,Entire document
9.4.2.2,R1-2406456,1-8
NR_MIMO_evo_DL_UL-Core,R1-2407309,
9.7.2,R1-2402608,1-10
9.2.1,R1-2400278,
8.1,R1-2405369,
9.1.2,R1-2401602,Clause 9.1.2
7,R1-2409299,
9.5.1,R1-2410430,entire document
9.2.1,R1-2402659,All
9.5.2,R1-2410484,1-9
9.1.4.1,R1-2405134,
,R1-2409258,
NR_pos_enh2-Core,R1-2410144,
9.2.3,R1-2408192,
9.7.1,R1-2405115,
9.2.1,R1-2402017,
8,R1-2409340,
RAN2-NTN-Enh,R2-2314016,1-3
5,R1-2410084,
9.7.1,R1-2406249,
9.1.3.1,R1-2406494,
8.2.2,R1-2404271,3/226-5/226
9.5.1,R1-2403508,Entire document
,R1-2406163,
9.7.1,R1-2400881,
9.8.2,R1-2402481,1-9
9.3,R1-2401935,
9.6.3,R1-2408576,
9.1.3.3,R1-2406444,1–6
9.7.2,R1-2409818,
9.7.2,R1-2400645,
9.11.5,R1-2409409,
9.2.1,R1-2407678,Entire document
9.11.4,R1-2401373,
9.2.1,R1-2400912,
9.2.1,R1-2408382,
5,R1-2406818,
9.2.2,R1-2400382,
9.4.2.4,R1-2406560,
9.7,R1-2407480,
9.1.3,R1-2408454,
9.2.2,R1-2405888,1-20
9.7.2,R1-2400760,
9.10.1,R1-2404389,
9.2.4,R1-117-9.2.4,
9.2.1,R1-2405148,
9.8.1,R1-2406393,
9.5.1,R1-2402334,
9.1.3.3,R1-2403236,
9.1.1,R1-2400692,
8.5.3,R1-2403409,3/226 - 5/226
8,RAN1#119 Chair's Notes,
9.11.5,R1-2409618,
9.5.1,R1-2406376,entire document
8.2.1,R1-2405141,
7.3.1.1.3,R1-2403797,
9.2.2,R1-2407898,
9.1.3,R1-2410564,
9.2.1,R1-2406420,Entire document
5,R1-2406320,
FS_Ambient_IoT_solutions,R1-2407943,
9.3.1,R1-2404348,
8.5.3,R1-2402365,
9.8.2,R1-2403857,1-4
9.1.3.3,R1-2400770,
9.4.2.1,R1-2401183,
9.7.2,R1-2408304,Entire document
9.6.2,R1-2400474,
9.10.1,R1-2407511,
9.5.1,R1-2409686,entire document
9.4.2.4,R1-2401975,1-4
9.1.1,R1-2400263,Entire document
9.6.1,R1-2406412,Entire Document
9.11,R1-2403666,
9.1.3.2,R1-2403976,
9.1.1,R1-2400618,Entire document
9.2.1,R1-2409969,entire document
9.1.3,R1-2409987,
7,R1-2407822,
9.5.1,R1-2404223,
Security_Requirements,R1-2400956,
9.11.2,R1-2406203,
9.3.2,R1-2405816,Entire document
7,R1-2407299,Entire document
9.11.4,R1-2400790,Entire document
7,R1-2410602,
FG 57-2,R1-2405974,1-3
9.4.2.2,R1-2408991,
9.3.3,R1-2404114,Entire document
9.6.2,R1-2410037,
9.2.4,R1-2406313,1-11
5,R1-2409498,
9.5.2,R1-2404796,
9.6.3,R1-2404467,
9.1.3.1,R1-2403482,
9.1.1,R1-2405899,Entire document
8.1.4,R1-2403226,11-12
9.4.2.3,R1-2406188,
9.6.3,R1-2405512,
16.2.3,R1-2404847,
9.8,R1-2402128,7/7
9.4.1.1,R1-2407904,
9.3.2,R1-2401250,
NR_SL_enh2-Core,R1-2405727,1-3
9.4.1.1,R1-2405214,
9.4.2.3,R1-2402971,
9.3.1,R1-2409593,
9.1.3.1,R1-2400620,
9.6.3,R1-2409425,
