contributor_name,doc_id,contribution_type
Nokia Shanghai Bell,R1-2400838,Co-authoring
Ericsson,3GPP TS 38.213,Change Request
Huawei,R1-2401395,CR Proposal
China Mobile Communications Corporation,R1-2409202,Moderator Summary
Ericsson,R1-2408525,Technical Proposal
IITM,R1-2405298,Technical Contribution
Fraunhofer IIS,R1-2405886,Technical Analysis
"InterDigital, Inc.",R1-2402126,Technical Contribution
vivo,R1-2409666,Discussion & Draft CR
WILUS Inc.,R1-2405280,Technical Proposal
RUijie networks,R1-2400933,Discussion and decision
Hyundai Motor Company,R1-2406574,Discussion and Decision
ASUSTeK,R1-2408765,Discussion document
HiSilicon,R1-2401385,CR Proposal
ZTE,R1-2404253,CR Proposal
Samsung,R1-2400740,Contribution
Futurewei,R1-2403861,Technical Proposal
"NTT DOCOMO, INC.",R1-2405042,Technical Proposal
Lenovo,R1-2401589,Moderator Summary
Huawei,R1-2402020,Discussion and Decision
Ericsson,R1-2400520,Technical Analysis
Nokia,R1-2409712,Discussion and Decision
Google,R1-2410164,Discussion
"Huawei, HiSilicon",R1-2400130,Proposal on Stepwise Initialization
ZTE,R1-2404643,CR Author
Huawei,R1-2407355,Moderator Summary
Indian Institute of Technology Madras,R1-2410422,Technical Contribution
Apple Inc.,R1-2402893,Moderator Summary
Kyocera,R1-2401480,Discussion/Decision
Qualcomm Incorporated,R1-2410466,Author
Samsung,R1-2404092,Technical Proposal
Ericsson,R1-2407167,Source
Panasonic,R1-2400826,Discussion
"InterDigital, Inc.",R1-2408279,Source
"NTT DOCOMO, INC.",R1-2403247,Technical Proposal
Panasonic,R1-2408345,Discussion/Decision
Qualcomm,R1-2405470,Adjacent Channel Handling Proposals
"InterDigital, Inc.",R1-2406749,Discussion/Decision Proposal
ZTE,R1-2404982,Reply LS
MediaTek Inc.,R1-2410528,Discussion Document
Ericsson,R1-2410625,Contribution
Spreadtrum Communications,R1-2407791,Technical Proposal on TB Sizing
Samsung,R1-2408642,Technical Proposal
Panasonic,R1-2410352,Source
Nokia,R1-2404905,Technical Proposal
NVIDIA,R1-2400691,Discussion Document
vivo,R1-2409665,Draft CR
AT&T,R1-2403145,Technical Proposal
NTT DOCOMO,R1-2401836,Moderator Summary
Panasonic,R1-2410199,Contribution
"NTT DOCOMO, INC.",R1-2405739,Contributor
ZTE,R1-2405515,CR Proposal
Xiaomi,R1-2409902,Discussion
Ericsson,R1-2405010,Technical Contribution
Baicells,R1-2401083,Technical Analysis
Nokia Shanghai Bell,R1-2402906,Source
Huawei,R1-2403538,Reply LS
Samsung,R1-2410755,Moderator
Huawei,R1-2403960,Source
vivo,R1-2405535,Source
vivo,R1-2400227,Discussion Document
Huawei,R1-2403458,Technical Contribution
Ericsson,R1-2409563,Discussion
MediaTek Inc,R1-2410810,Proposer
Ericsson,R1-2408527,Source
Kyocera,R1-2408690,Technical Contribution
Samsung,R1-2400707,Discussion and Decision
Apple Inc.,R1-2409804,Contribution
Indian Institute of Technology Kanpur,R1-2401283,Discussion and Decision
LG Electronics,R1-2405492,Moderator
OPPO,R1-2400620,Technical Study
Xiaomi,R1-2407955,Contribution Document
Samsung,R1-2405513,Source
Sharp,R1-2406572,Contribution
Sony,R1-2408409,Discussion/decision
"Moderators (AT&T, NTT DOCOMO, INC.)",R1-2405568,Moderation
BUPT,R1-2410214,Technical Analysis
HiSilicon,R1-2405317,Technical Analysis
Apple,R1-2404308,Discussion/Decision
Ericsson,R1-2400521,Source
"InterDigital, Inc.",R1-2408725,Technical Analysis & Proposals
Ericsson,R1-2403912,Source
China Telecom,R1-2402508,Technical Proposal
Spreadtrum Communications,R1-2401672,Proposal 2.1
Nokia,R1-2400646,Source
ETRI,R1-2401224,Discussion
LG Electronics,R1-2409144,Moderator
Spreadtrum Communications,R1-2403767,Moderator Summary
Ericsson,R1-2403383,Discussion/Decision proposal
Samsung,R1-2409616,Discussion and Decision Proposal
Spreadtrum Communications,R1-2409238,Moderator Summary
CATT,R1-2403410,Technical Proposal
RAN2,R2-2407623,Technical Contribution
Samsung,R1-2402458,Moderator Summary
Fujitsu,R1-2405065,CR Submission
NICT,R1-2405226,Discussion and Decision
OPPO,R1-2410091,Technical Contribution
CEWiT,R1-2407080,Discussion Proposal
Xiaomi,R1-2409896,Discussion
Samsung,R1-2404112,Technical Proposal
Samsung,R1-2407283,Moderator Summary
Viasat,R1-2407138,Source
CMCC,R1-2410674,Moderator Summary
vivo,R1-2409673,Contribution
Samsung,R1-2409027,Discussion and decision
HiSilicon,R1-2400124,Source
