name,aliases
MediaTek,Moderator (MediaTek)
MediaTek Inc.,
TSG RAN2,RAN2
Peng Cheng Laboratory,PML
Apple,Apple [RAN1]
Nokia,RAN1
RAN WG1,Radio Access Network Working Group 1
Nokia,"Nokia, Apple, Ericsson, MediaTek, NTT DOCOMO, Spreadtrum"
Qualcomm,Qualcomm [RAN1]
vivo,Companyname-01
Tejas Network Limited,Tejas
T-Mobile USA,T-Mobile
Ericsson,Emre A. Yavuz
Moderator (OPPO),OPPO
SA2 (TSG-SA WG2),SA2
RAN1 Chair,3GPP RAN1 Chair
RAN WG2,3GPP RAN2
Apple,Moderator (Apple)
IITKGP,
ZTE Corporation,ZTE|Zhongxing Telecommunications Equipment Corporation
Yuzhou Hu,
Intel,Intel
"OPPO Guangdong Mobile Communications Co., Ltd",OPPO
National Institute of Standards and Technology (NIST),NIST
3GPP TSG-RAN WG1,RAN WG1
Spreadtrum,Sanechips
Moderator (CATT),
Huawei,Moderator (Huawei)
Google,Google LLC
"Fraunhofer IIS, Fraunhofer HHI",
"CATT, CICTCI",CATT|CICTCI
ETRI,Electronics and Telecommunications Research Institute
Lockheed Martin,
Google,Google Inc.|Google LLC
Qualcomm Incorporated,Qualcomm Inc
Iridium,Iridium
Apple,Apple Inc
Tejas Networks Ltd,Tejas Networks Ltd
NSB,NSB
"Huawei, HiSilicon",Moderator
RUijie Networks,RUijie
KT Corp.,KT Corp
Intel,intel.com
KDDI,Taishi Watanabe
NTT Docomo,NTTH
NTT Docomo,Docomo
Ericsson,
Ruijie Network Co. Ltd,
RAN1 Chair,RAN1 Chair
Google,Moderator
CICTCI,"CICT Mobile Communication Technology Co., Ltd"
3GPP Member Company,3GPP
KDDI,KDDI
"InterDigital, Inc",
NTT DOCOMO,Hiroki Harada
Hyundai Motor Company,Hyundai
Fraunhofer HHI,Fraunhofer HHI
China Telecom,China Telecom Group|CT
China Mobile Communications Corporation,CMCC|China Mobile
Samsung,RAN WG1
Rohde & Schwarz,R&S
SGITG,
CMCC,[2]
"Samsung Electronics Co., Ltd",
ESA,stefano.cioni@esa.int
MediaTek Inc,
Moderator (Thales),Thales
Moderator (ASUSTeK),ASUSTeK
Huawei,HiSi
Apple,[8]
Apple,Moderator
IIT Kanpur,Indian Institute of Technology Kanpur
Asustek,
Transsion,Transsion Holdings
Huawei/Hi Silicon,
RAN WG4,Radio Access Network Working Group 4
"Nokia, NSB",Nokia
Mediatek,
Xiaomi,xiaomi
Hyundai Motor Company,HMC
Baicells,
KDDI Corporation,KDDI
KDDI,KDDI Corporation
"Charter Communications, CableLabs",
"NTT DOCOMO, INC.",Ad-Hoc Chair (NTT DOCOMO)
EURECOM,EURECOM
CICTCI,
Huawei,HiSilicon
ZTE Corporation,
InterDigital,"InterDigital, Inc."
IIT Kharagpur,IIT Kharagpur
"Xiaomi Communications Co., Ltd",Xiaomi
Nokia,Nokia|NSB
Iridium Satellite LLC,Iridium
"InterDigital, Inc.",InterDigital
Sanechips,Sanechips
Fraunhofer HHI,HHI
Sony Corporation,
Yuda Luz,
"Qualcomm Technologies, Inc.",QTI|Qualcomm
ETRI,Yongjin Kwon
3GPP RAN Working Group 1,RAN1
China Academy of Telecommunications Technology,CATT|CICTCI
Nordic Semiconductor ASA,Nordic Semiconductor
Google Inc.,Google
FW,Futurewei
"Huawei, HiSilicon",HW/HiSi
Intel,
Lenovo,Bingchao Liu
Taesang Yoo,Qualcomm|qti.quallcomm.com
SPREADTRUM,SPRD
Dell,
MediaTek Inc.,[22]
NVIDIA,NVIDIA Corporation
Everactive,
Tejas Networks Ltd.,Tejas Networks
CATT,Jiayi Yang
Interdigital,"InterDigital, Inc."
CICTCI,China Information Communication Technologies Group Corporation
CATT,Min Zhu
Huawei,RAN WG1
Ericsson,Ericsson
"Moderator (NTT DOCOMO, INC.)",
Huawei,Hu Dan
vivo,vivo
"Huawei, Samsung, ITL",Moderator (Huawei)|Samsung|ITL
China Information Communication Technology Company (CICTCI),CICTCI
OPPO,Jeffrey (Jianfei) Cao
China Mobile Communications Corporation (CMCC),CMCC|RAN1
MediaTek Inc,Moderator (MediaTek. Inc)
Continental Automotive,Continental
ZTE,Zhongxing Telecom Equipment
"NTT DOCOMO, INC.",DOCOMO|NTT DOCOMO
Tejas Networks Ltd.,Tejas Networks|Tejas
Tejas Networks Ltd,
Pengcheng Laboratory,Pengcheng Lab
RAN1,Radio Access Network Working Group 1
Fujitsu Limited,Fujitsu
Fraunhofer HHI,Baris Göktepe
Samsung,SS
Indian Institute of Technology Madras (IITM),IITM
NTT DOCOMO. INC,DOCOMO
Hanbat National University,
Ericsson,Ericsson Ltd.
TCL,TCL
Nokia,Nokia Shanghai Bell|NSB
China Academy of Telecommunication Technology (CATT),CATT
ITRI,
"Moderator (InterDigital, Inc.)",InterDigital
FL (Qualcomm),Qualcomm
University of Michigan,
Huawei,Huawei|Hisilicon
Younsun,
"ZTE, Sanechips",
"AT&T, FirstNet",
"KRRI, Hanbat National University",
TCL,TCL Communication Ltd.
3GPP,Third Generation Partnership Project
NTT DOCOMO INC.,
SHARP,"SHARP, NYU WIRELESS"
China Mobile Communications Corporation,CMCC|Moderator
Huawei,Huawei|Moderator
"Huawei, HiSilicon, Ericsson",Huawei|HiSilicon|Ericsson
