doc_id,wg_name,role_in_group
R1-2403161,RAN WG1,Contribution
R1-2407201,RAN WG1,Discussion Document
R1-2403034,RAN WG1,Change Request
R1-2409795,RAN WG1,Contribution
R1-2402813,RAN WG1,Technical Contribution
R1-2401883,RAN WG1,Technical Specification
R1-2407189,RAN WG1,Discussion Summary
R1-2401501,RAN WG1,Discussion lead for maintenance issues
R1-2403440,RAN WG1,Discussion Document
R2-2407655,RAN WG2,LS Initiator
R1-2409619,RAN WG1,Contribution
R1-2403049,RAN WG1,Discussion Framework Document
R1-2400484,RAN WG1,Change Request Proposal
R1-2401767,RAN WG1,Study Item Documentation
R1-2400759,RAN WG1,Technical Contribution
R1-2407798,RAN WG1,Technical Contribution
R1-2401424,RAN WG1,Contribution
R1-2402433,RAN WG1,Discussion lead on multi-cell scheduling
R1-2407417,RAN WG1,Discussion coordination
R1-2407187,RAN WG1,Specification Maintenance
R1-2409340,RAN WG1,Meeting Documentation
R1-2410200,RAN WG1,Contribution
R1-2406401,RAN WG1,Change Request
R1-2406251,RAN WG1,Discussion Document
R1-2407238,RAN WG1,Change Request Proposal
R1-2400613,RAN WG1,Discussion Lead
R1-2400582,RAN WG1,Contribution on NR sidelink maintenance
R1-2404084,RAN WG1,Technical contribution
R1-2402667,RAN WG1,Technical Contribution
R1-2407195,RAN WG1,Discussion Summary
R1-2409647,RAN WG1,Contribution
R1-2404216,TSG-RAN WG1,Contributor
R1-2405804,RAN WG1,Contribution on Ambient IoT Physical Layer Design
R1-2408643,RAN WG1,Contribution
R1-2403664,RAN WG1,Study Item Documentation
R1-2407963,RAN WG1,Contribution
R1-2408349,RAN WG1,Technical Contribution
R1-2408531,RAN WG1,Contribution
R1-2401818,RAN WG1,Change Request
R1-2407314,RAN WG1,Discussion Document
R1-2407016,RAN WG1,CR Proposal
R1-2406322,RAN WG1,Contribution
R1-2406235,RAN WG1,Contribution
R1-2408056,RAN WG1,Discussion Contributor
R1-2409676,RAN WG1,Discussion document for physical layer enhancements
R1-2400476,RAN WG1,Contributor
R1-2404264,RAN WG1,Contribution on uplink enhancements
R1-2400681,RAN WG1,Discussion Document
R1-2406338,TSG-RAN WG1,Change Request for Physical Layer Specification
R1-2404323,RAN WG1,Technical Contribution
R1-2406443,RAN WG1,Radio Access Network specifications
