meeting_id,venue,wg,topic
TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Rel-18 IoT NTN Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,7.1: NR Physical Layer Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Waveform determination for NR uplink channels
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,NR Dedicated Spectrum <5 MHz Enhancements
RAN WG1 #118b,"Hefei, China",RAN WG1,ISAC deployment scenarios discussion
3GPP RAN WG2 Meeting #125bis,"Changsha, China",RAN WG2,CG RACH-less Handover Parameters
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR-NTN Enhancements
RAN WG1 Meeting #119,"Orlando, US",RAN WG1,Evolution of NR duplex operation
RAN WG1 Meeting #119,"Orlando, USA",RAN WG1,NR FR1 carrier bandwidth configurations
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,On-demand SIB1 mechanisms for network energy saving
RAN WG1 #118bis,"Hefei, China",RAN WG1,Pre-Rel-18 E-UTRA maintenance
TSG RAN WG1 #119,"Orlando, US",RAN WG1,NR Positioning Enhancements
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,Uplink Capacity Enhancement for IoT NTN
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR NTN Enhancements for Rel-19
RAN WG1 #118bis,"Hefei, China",RAN WG1,Common TA in regenerative payload NTN
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR & IoT Physical Layer Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Radio interface physical layer specifications
RAN WG1 #116,"Athens, Greece",RAN WG1,Radio Access Network Protocol Specifications
RAN WG1 #116,"Athens, Greece",RAN WG1,NR NTN Uplink Enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,HARQ-ACK generation in case of DL BWP switching
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR Physical Layer Agenda
RAN WG1 #118bis,"Hefei, China",RAN WG1,MIMO evolution for DL and UL
3GPP TSG RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,Evolution of NR duplex operation
RAN WG1 #116,"Athens, Greece",RAN WG1,NR SL Evolution
RAN WG1 #118,"Maastricht, NL",RAN WG1,Physical layer enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-19 A-IoT Physical Layer Design
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR Physical Layer Specifications
3GPP TSG RAN WG1 #116bis,"Changsha, China",RAN WG1,On-demand SSB for SCell Energy Saving
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Rel-19 SBFD standardization
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR NTN Phase 3 Enhancements
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR-NTN Uplink Enhancement
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR & NG-RAN Evolution
RAN WG3 #122,"Chicago, USA",RAN WG3,OAM Requirements for NTN
RAN WG1 #116bis,"Changsha, China",TSG-RAN WG1,NR Mobility Enhancements
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR-NTN enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,9.1.4.1 - CSI Compression
3GPP TSG RAN WG1 #119,"Orlando, USA",RAN WG1,Positioning accuracy enhancement for AI/ML
TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Enhancement for asymmetric DL sTRP/UL mTRP deployment scenarios
RAN WG1 #119,"Orlando, US",RAN WG1,Physical layer enhancements
TSG-RAN WG1 Meeting #118b,"Hefei, China",RAN WG1,IoT-NTN TDD Mode Standardization
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Ambient IoT in NR
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-18 Multi-Carrier Enhancements Maintenance
3GPP TSG-RAN WG1 Meeting #116,"Athens, GR",RAN WG1,9.11.1: NR NTN Phase-3 Enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,On-demand SSB for Network Energy Saving
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,Uplink capacity/throughput enhancement for NR NTN
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR positioning enhancements
3GPP TSG-RAN WG1 Meeting #119,"Orlando, US",TSG-RAN WG1,Physical layer protocol development
RAN WG1 #118,"Maastricht, NL",RAN WG1,UE features for Rel-18 work items
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,9.3.1 - Sub-band Full Duplex Design
RAN WG1 #116bis,"Changsha, China",RAN WG1,Positioning for RedCap UEs
3GPP TSG RAN1#116bis,"Changsha, China",RAN WG1,SLPP Enhancements
RAN WG1 #116,Athens,RAN WG1,3GPP TSG RAN WG1 Meeting #116
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,MIMO Evolution for Rel-19
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-18 MIMO Enhancements
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR Duplex Evolution - SBFD Operation
RAN WG1 #118bis,"Hefei, China",RAN WG1,TEI
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,UCI multiplexing mechanisms
3GPP TSG RAN WG1 #116-bis,"Changsha, China",RAN WG1,NR enhancements
RAN WG1 #116bis,"Changsha, China",RAN WG1,Ambient IoT Device Architectures
RAN WG1 #119,"Orlando, US",RAN WG1,On-demand SSB for Network Energy Saving
RAN WG1 #118,"Maastricht, NL",RAN WG1,Enhancements of network energy savings for NR
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR MIMO Enhancements (Phase 5)
RAN WG1 #119,"Orlando, USA",RAN WG1,Enhancements for UE-initiated/event-driven beam management
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,9.4.2
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR duplex evolution
RAN WG1 #118,"Maastricht, NL",RAN WG1,Enhancements for asymmetric DL sTRP/UL mTRP
TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,PH Reporting Configurations for mTRP and STx2P
TSG RAN WG1 #119,"Orlando, US",RAN WG1,IoT-NTN Phase 3 Core Specifications
TSG RAN WG1 #116-bis,"Fukuoka City, Fukuoka, Japan",RAN WG1,Antenna switching SRS configurations for Rel-19
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Enhancements for XR in NR Phase 3
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,NR MIMO Enhancements
3GPP TSG RAN WG1 #118,"Maastricht, NL",RAN WG1,Rel-19 NES Enhancements
3GPP TSG RAN WG1 #118-bis,"Hefei, China",RAN WG1,NR Sidelink Enhancements
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Physical layer specifications for NR evolution
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,3Tx UL MIMO Enhancements
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Physical Layer Specifications
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR Multi-Carrier Enhancements
RAN WG1 #119,"Orlando, US",RAN WG1,Frame structure and timing aspects for IoT devices
RAN WG1 #118bis,,RAN WG1,ISAC Deployment Scenarios
RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,NR_SL_enh2-Core (Rel-18 Sidelink Enhancements)
RAN WG1 #119,"Orlando, USA",RAN WG1,NR Physical Layer Enhancements for Ambient IoT
3GPP TSG RAN WG1 #118,"Maastricht, NL",RAN WG1,Rel-18 UE Feature Finalization
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 Enhancements of Network Energy Savings (NES)
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Rel-18 UE features
RAN WG1 #118bis,"Hefei, Anhui, China",RAN WG1,NR Sidelink Enhancements
3GPP TSG RAN1#117,"Fukuoka City, Fukuoka, Japan",RAN WG1,RRC parameters for CG RACH-less Handover
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,NR duplex evolution
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR NTN Solutions
RAN WG1 #118bis,"Hefei, China",RAN WG1,MIB contents of NCD-SSB
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR_MC_enh-Core Work Item Discussion
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Physical layer protocol development
RAN WG1 #116bis,"Changsha, China",RAN WG1,Agenda Item 8.4: Rel-18 Coverage Enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Ambient IoT Channel/Signal Aspects
RAN WG1 #118bis,"Hefei, China",RAN WG1,AI/ML for NR Physical Layer
RAN WG1 #118,"Maastricht, NL",RAN WG1,XR Enhancements for NR
RAN WG1 #118,"Maastricht, NL",RAN1,5G NR Physical Layer Development
RAN WG1 #119,"Orlando, US",RAN WG1,Enhancements for UE-initiated/Event-driven Beam Management
