doc_id,entity_name,context,frequency
R1-2404758,UL-WUS,Configuration and resource allocation for energy-efficient triggering,18
R1-2405840,OCC,PUSCH capacity enhancement through time-domain and frequency-domain orthogonal cover codes,42
R1-2403935,PRACH,PRACH resource configuration for SBFD symbols,42
R1-2403359,PUSCH,Discussed as primary channel for UCI multiplexing prioritization,
R1-2410530,SSSG,Timer reset mechanism during BWP switching,12
R1-2400802,SBFD,Proposed for UL coverage improvement and latency reduction in TDD systems,58
38.213 CR 0634,LTM,Cell switch command triggering mechanism,6
R1-2400876,OCC,Time-domain cyclic application for UE multiplexing,9
R1-2401981,SSB,SSB-to-RO mapping rules adaptation for SBFD,8
R1-2409424,LP-WUS,Core focus of the technical proposal,42
R1-2406725,SBFD,Subband configuration and resource allocation,45
R1-2410762,SSB,UE reception expectations from UL TRPs,3
R1-2406667,Ray-tracing,Validation method for channel parameter updates,2
R1-2408922,Beam Management,Core discussion topic throughout the document,42
R1-2403754,cellSpecificKoffset,Timing offset parameter for Msg3 scheduling,4
R1-2409926,TS 37.355,Location Uncertainty IE definition,3
R1-2410756,CSI-RS Ports,Codebook refinement proposals for 16-128 port configurations,8
R1-2404302,UAV,Sensing target for flight trajectory tracing and intrusion detection,12
R1-2402714,Event-2,Primary trigger event for beam reporting (new beam exceeding current beam quality),27
R1-2407011,PRACH,Validation of eligible PRACH occasions for SSB-to-RO mapping,8
R1-2406082,OOK-4,DFT-precoded modulation scheme evaluated for different M values,12
R1-2404358,TS 38.214,Specifies UE measurement/reporting procedures for SL positioning,3
R1-2408097,TR 38.901,Baseline channel model for ISAC extensions,2
R1-2407664,LP-WUS,Waveform design and coverage enhancement,47
R1-2401317,LP-WUS,Waveform design considerations for power efficiency and detection reliability,42
R1-2410870,3Tx UE,Power transmission capabilities for 3-antenna UEs,5
R1-2406474,DFT-S-OFDM,Supported as a transmitter option for R2D signals alongside CP-OFDM.,6
R1-2408563,CSI-RS,Support for up to 128 ports in FR1 and Type-I/II codebooks.,15
R1-2404702,CSI-RS,Configuration enhancements for performance monitoring,15
R1-2404882,Event-2,Primary trigger condition for beam switching,12
R1-2408828,SBFD,Time domain conflict resolution and resource allocation,35
R1-2404909,5GC,ML model deployment environment,3
R1-2405463,PDSCH,Bandwidth limitations and processing requirements,28
R1-2409261,TS 38.331,Feature combination configuration,2
R1-2402958,CIR,Proposed as essential channel measurement for AI/ML model training,15
R1-2400337,SSB,Periodicity adaptation in time domain for energy saving,28
R1-2402082,TCI states,Unified TCI framework enhancements for UL beam management,12
R1-2403546,sdt-SearchSpace,CSS configuration for PDCCH monitoring after contention resolution,4
R1-2405137,UL Tx switching,Fallback configuration analysis,15
R1-2410056,UL-only mTRP,Proposals for Rel-19 enhancements in asymmetric DL/UL TRP deployments,15
R1-2405257,Beam Hopping,System-level coverage enhancement through dynamic beam management,9
R1-2400136,UL Tx Switching,Cross-band transmission chain management,22
R1-2401658,TS 38.133,RF retuning time specifications,4
R1-2408627,PDSCH,Physical channel whose EPRE ratio is calculated relative to CSI-RS,
R1-2401279,SSB,Transmission optimization for energy savings,10
CR-Form-v12.2,SL PRS-CR,Time window parameter alignment with RAN2 terminology,3
R1-2401376,MAC-CE,CSI reporting transport mechanism,5
R1-2409910,PRACH,Resource configuration challenges in SBFD symbols,35
R1-2300792,3GPP TR 38.901,Channel model reference for 5G NR systems,4
R1-2404455,NZP CSI-RS,Reference signal for gNB-gNB channel measurement,15
R1-2406135,SBFD,Core technology for enhanced duplex operation,42
R1-2406114,PDSCH,Scrambling configuration for multicast,8
R1-2405256,HARQ-ACK,Multiplexing in PUSCH repetitions,15
R1-2405611,FG49-1,Multi-cell PDSCH scheduling with same SCS,15
R1-2401863,OOK-4,Waveform design for LP-WUS with configurable M (symbols per OFDM),25
R1-2406979,CSI prediction,Core technical focus of the document,45
R1-2405142,DMRS,New UL DMRS port configurations for MIMO,8
R1-2406325,PUSCH,Transform precoding application procedures,15
R1-2402455,Doppler-domain Type II CSI,Basis for temporal compression techniques,5
R1-2404674,OOK,Baseband modulation technique for D2R transmissions,8
R1-2409543,Phase Mismatch Elimination,Critical preprocessing step for AI/ML positioning models,28
R1-24074894,SMa Scenario,Proposal for new suburban deployment model,12
R1-2407273,LNA,Feasibility in Device 2a/2b architectures for improved sensitivity,15
R1-2406773,OOK-4,Modulation scheme performance analysis,5
R1-2409857,Beam Failure Detection,Interaction between UE-initiated reporting and BFD/BFR procedures,6
R1-2402761,LP-WUS,Configuration and operational procedures,35
R1-2404661,PRACH,Primary focus for resource configuration and validation rules in SBFD symbols,32
R1-2406450,TRP-TRP Bistatic,Feasibility analysis for UAV detection scenarios,7
