id,name,description
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of 3GPP radio access technologies.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for physical layer specifications of radio interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 5G/NR
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical layer aspects
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications in 3GPP standards.
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of radio interfaces for cellular systems.
RAN WG1,Radio Access Network Working Group 1,"Responsible for the physical layer specifications of NR, including waveform design and synchronization."
RAN WG2,Radio Access Network Working Group 2,Handles MAC layer and higher protocol aspects in 3GPP.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio interface specifications, including physical layer protocols and MIMO enhancements."
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including radio resource management and signal/channel design."
RAN WG2,Radio Access Network Working Group 2,"Handles NR radio interface architecture and protocols, relevant for LP-WUS procedures."
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols and MIMO enhancements."
RAN4,Radio Access Network Working Group 4,Focuses on radio performance and protocol aspects in 3GPP.
RAN WG4,Radio Access Network Working Group 4,Focuses on radio performance and protocol aspects of UTRA and E-UTRA.
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of NR (New Radio)
RAN WG3,Radio Access Network Working Group 3,Focuses on the radio access network architecture and interfaces.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications including radio interface architecture and protocols
RAN WG3,Radio Access Network Working Group 3,Focuses on RF requirements and conformance testing
RAN WG3,Radio Access Network Working Group 3,Responsible for UTRA and NR radio access network specifications including architecture and interfaces
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for the physical layer specifications of NR radio access.
RAN4,Radio Access Network Working Group 4,Handles RF and performance requirements.
SA2,Service and System Aspects Working Group 2,"Responsible for architecture and service requirements, including energy efficiency studies."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio access layer specifications, including Ambient IoT standardization."
RAN WG3,Radio Access Network Working Group 3,Addresses network infrastructure and inter-node interfaces.
RAN WG4,Radio Access Network Working Group 4,3GPP group responsible for radio performance and protocol aspects.
SA2,Service and System Aspects Working Group 2,Focuses on architecture and service requirements.
RAN WG3,Radio Access Network Working Group 3,Responsible for radio access network interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications (Physical Layer).
RAN WG2,Radio Access Network Working Group 2,Responsible for MAC layer specifications in 3GPP.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer architecture and protocols specification
RAN WG2,Radio Access Network Working Group 2,"Responsible for MAC, RLC, PDCP, and SDAP layer specifications in NR."
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for NR and LTE.
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of 5G NR.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer procedures and RRM."
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for 5G/NR physical layer specifications.
RAN4,Radio Access Network Working Group 4,"Handles radio performance and protocol aspects, contributing to LP-WUR core requirements."
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of NR radio interfaces.
RAN WG2,Radio Access Network Working Group 2,"Focuses on MAC, RLC, PDCP layers and radio interface architecture."
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer specifications for LTE/NR radio interfaces.
RAN WG4,Radio Access Network Working Group 4,Handles radio performance and protocol aspects of UTRA and E-UTRA.
TSG-RAN WG1,3GPP TSG Radio Access Network Working Group 1,Responsible for the definition of the physical layer of radio interfaces.
RAN4,Radio Access Network Working Group 4,Responsible for RF and RRM requirements for NR and LTE.
TSG-RAN WG1,Radio Access Network Working Group 1,Focuses on physical layer specifications for NR and LTE.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols and beam management."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP radio access technologies
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer specifications, including physical layer and channel modeling."
RAN WG1,Radio Access Network Working Group 1,"Responsible for physical layer specifications, including IoT-NTN TDD mode design."
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of the radio interface for NR and LTE.
TSG-RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for physical layer specifications of radio interfaces.
RAN WG4,Radio Access Network Working Group 4,Responsible for UE radio transmission and reception requirements
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer specifications for NR and LTE.
RAN WG2,Radio Access Network Working Group 2,Responsible for the radio interface architecture and protocols in 3GPP systems.
RAN4,Radio Access Network Working Group 4,Responsible for RF and radio performance specifications
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer enhancements for NR-NTN."
RAN WG2,Radio Access Network Working Group 2,Radio interface architecture and protocols
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including synchronization signals and energy-saving mechanisms."
RAN WG1,Radio Access Network Working Group 1,Responsible for defining the physical layer of NR and NTN standards.
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer aspects of NR."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio access network specifications, including physical layer protocols and channel modeling."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP NR standards.
RAN4,Radio Access Network Working Group 4,Focuses on RF and radio resource management
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects in 3GPP.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio interface protocols and physical layer specifications
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including SSB and SCell procedures."
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for radio interfaces.
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of radio interfaces for NR and LTE.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP radio access networks
RAN WG3,Radio Access Network Working Group 3,Handles UE radio transmission/reception requirements and test specifications.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications for NR and LTE
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols for NR."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio access network specifications, including physical layer protocols."
RAN WG2,Radio Access Network Working Group 2,Focuses on NR radio interface protocols and architecture.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for radio access network layer 1 specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of NR/LTE
RAN WG1,Radio Access Network Working Group 1,"Responsible for 5G NR physical layer specifications, including radio resource control and channel structures."
SA2,Service and System Aspects Working Group 2,"3GPP group handling architecture and service requirements, including IoT use cases."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP radio systems
RAN WG1,Radio Access Network Working Group 1,Responsible for 5G physical layer specifications.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications.
RAN WG4,Radio Access Network Working Group 4,Focuses on radio performance and protocol aspects of NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of LTE/NR systems.
RAN3,Radio Access Network Working Group 3,Focuses on overall UTRAN architecture
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical layer and RF characteristics
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of NR radio access
RAN WG2,Radio Access Network Working Group 2,3GPP group responsible for radio interface architecture/protocols
TSG-RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio interface architecture and protocols
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical channels and signals."
RAN WG1,Radio Access Network Working Group 1,Responsible for radio access architecture and specifications
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical channels and power control
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of radio interfaces for cellular systems.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio interface architecture and physical layer specifications
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications including physical channels, coding, and IoT air interface design."
RAN WG2,Radio Access Network Working Group 2,Focuses on MAC layer protocols and radio resource management.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of NR/LTE radio interfaces
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of 5G NR radio interface.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP NR
RAN WG3,Radio Access Network Working Group 3,Focuses on radio network architecture and interfaces.
SA2,Service and System Aspects Working Group 2,Responsible for overall architecture and service requirements
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of NR air interface.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications development in 3GPP
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols and MIMO techniques."
RAN WG1,Radio Access Network Working Group 1,"Responsible for 5G-NR physical layer specifications, including synchronization signals and system information procedures."
SA WG5,Telecom Management Working Group,Responsible for management framework and interface specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications including physical channels
RAN WG1,Radio Access Network Working Group 1,"Responsible for defining NR physical layer specifications, including MIMO and uplink enhancements."
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications and physical layer measurements
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of 3GPP radio interfaces.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio interface specifications.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for NR radio interfaces.
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol testing.
RAN WG1,Radio Access Network Working Group 1,Responsible for specifying the physical layer of 3GPP radio interfaces.
TSG-RAN,Radio Access Network Working Group,3GPP group responsible for radio access network specifications.
RAN WG2,Radio Access Network Working Group 2,Responsible for NR protocol aspects (Layers 2/3)
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications in 3GPP.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for NR/UTRA systems.
RAN WG1,Radio Access Network Working Group 1,Responsible for definition of the physical layer of radio interfaces
RAN WG2,Radio Access Network Working Group 2,Responsible for layer 2/layer 3 specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP radio access technologies.
RAN WG3,Radio Access Network Working Group 3,Responsible for radio access network architecture and interfaces
