agenda_id,release,topic,description
9.1.1,Rel-19,AI/ML for Beam Management,"Discussion of specification support for AI/ML-based beam prediction including life cycle management, reporting mechanisms, and performance monitoring"
9.5.2,Rel-19,On-demand SIB1 for idle/inactive mode UEs,"Study of mechanisms to enable network energy savings through on-demand SIB1 transmission, focusing on deployment scenarios and technical feasibility"
9.9.1,NR mobility enhancement Phase 4,Discussions on measurement enhancement for LTM,"Specification of L1 measurement reporting, CSI-RS-based beam management, and CSI acquisition for LTM cell switch procedures."
9.4.2.2,Rel-19,Frame structure and timing aspects of Ambient IoT,"Discussion of synchronization, timing relationships, and contention-based access mechanisms for ultra-low-power AIoT devices"
NR_LPWUS,,LP-WUS CONNECTED mode operation,Discussion of DRX timer management and wake-up signal monitoring mechanisms for connected mode UEs
9.2.1,Rel-19,Enhancements for UE-initiated/event-driven beam management,"Discussion on trigger events, measurement configurations, and UL signaling mechanisms for improved beam management"
9.3.1,Release 19,SBFD Operation,"Specification of semi-static SBFD subband configurations and associated UE procedures for transmission, reception and measurements in Rel-19"
9.4.2.1,Rel-19,On general aspects of physical layer design for Ambient IoT,"Study harmonized air interface design for Ambient IoT devices with ultra-low power constraints, focusing on bandwidth/numerology, modulation, multiple access, and channel coding."
9.4.2,Rel-19,Study on Solutions for Ambient IoT,"Discussion and endorsement of TR 38.769 v0.1.0, incorporating RAN1 agreements to standardize Ambient IoT solutions."
9.3.2,18,SBFD random access operation,"Discussion on random access procedures for SBFD-aware UEs in RRC_CONNECTED mode, including RACH configuration and power control."
9.6.1,Release 18,LP-WUS and LP-SS Design,Physical layer design of wake-up signals and synchronization signals for NR power saving.
4.5.6.3,,Multi-channel access procedures for SL transmissions,Endorsement of text proposal for TS 37.213 Clause 4.5.6.3 regarding intra-cell guard band configuration and UE transmission restrictions.
8.5.2,Rel-18,UE features for eDSS,"Discussion and decision on UE capability features for enhanced Dynamic Spectrum Sharing, focusing on PDCCH reception with LTE CRS interference and multiple rate matching patterns"
9.7.2,Release 19,Channel Modelling for ISAC,"Discussion on modeling approaches for integrated sensing and communication channels including target interaction, blockage effects, and spatial consistency"
9.5.2,Rel-19 NR,On-demand SIB1 for idle/inactive mode UEs,"Discussion on mechanisms to support on-demand SIB1 transmission for energy efficiency, including UL WUS design and configuration."
9.5.2,Rel-19,On-demand SIB1 for idle/inactive mode UEs,Study of mechanisms to enable energy-efficient SIB1 transmission through UE-initiated requests
TEI16,Rel-18,Remaining issues for uplink Tx switching,Discussion of timeline relaxation for uplink switching gaps when CG-PUSCH is canceled by DG-PUSCH
9.7.2,Rel-19,ISAC Channel Modeling,"Study on channel modeling for integrated sensing and communication in NR, covering deployment scenarios, sensing target characterization, and spatial consistency modeling"
9.3.1,Release 19,R19 Duplex,Discussed on Monday 08:30-10:30 (120 min)
