agenda_id,release,doc_id,page_range
9.4.2.3,Rel-19,R1-2400632,
9.4.1.2,Rel-18,R1-2400057,
9.2.2,Rel-19,R1-2402633,
8.4,Rel-18,R1-2403289,
9.5.3,NR Release 18+,R1-2400401,
9.2.4,Rel-19,R1-2408190,
8.1,3GPP Release 18,R1-2408511,
8.1,Rel-18,R1-2406535,
9.7.1,Release 19,R1-2403964,
9.3.2,Release 19,R1-2410141,
12,Rel-18,R1-2410937,
8.1,3GPP,R1-2404716,
9.4.1.2,R19,R1-2402243,
,Rel-17,CR 38.213 0589,
9.7.2,Rel-19,R1-2401456,
9.7.2,Rel-19,R1-2406196,
8.1,Release 18,R1-2410834,
9.4.2.3,Rel-19,R1-2400613,
7.1,Rel-18,R1-2401369,
8.1,Rel-18,R1-2408813,
9.5.1,Rel-19,R1-2408311,
9.2.2,Rel-19,R1-2408188,
9.4.1.1,,R1-2408731,
9.11.2,Rel-19,R1-2405741,
9.1.1,Rel-19,R1-2402316,
R1-2401745,Rel-18,R1-2401745,
9.1.2,Release 19,R1-2405031,
9.3.3,Rel-18,R1-2406061,
8.12.3,Rel-18,R1-2400083,
9.1.1,Rel-19,R1-2403563,
9.2.1,Rel-18,R1-2408925,
8.1,Rel-18,R1-2406909,
9.11.1,Rel-19,R1-2408237,
7,Rel-17,R1-2409132,
9.11.1,Release 18,R1-2401059,
9.1.3.3,Rel-19,R1-2401571,
9.3.2,Rel-18,R1-2400178,
5,Rel-18,R1-2401392,
9.2.2,Rel-19,R1-2409588,
9.2.4,Rel-19,R1-2401047,
8.8,Rel-18,R1-2400311,
9.1.2,Rel-17,R1-2402707,
R19 XR,Release 19,RAN1#118bis_Schedule,
9.1,Rel-19,R1-2409340,
9.3.2,Rel-18,R1-2410345,
9.1.3.1,Rel-18,R1-2409331,
9.5.1,Release 19,R1-2410291,
7,Rel-17,R1-2407299,
9.6.2,Rel-18,R1-2406815,
9.13,Rel-19,R1-2408493,
9.12.1,Rel-19,R1-2407726,
9.3.3,Rel-19,R1-2401013,
9.2.4,Rel-19,R1-2405983,
8.1,Rel-18,R1-2409221,
8.12.5,Rel-18,R1-2400299,
9.7,Release 18 and 19,R1-2407585,
9.1.2,Rel-19,R1-2409582,
9.4.2.2,Rel-19,R1-2409638,
7,Rel-15,R1-2407432,
9.6.3,Release 18/19,R1-2408539,
9.11.3,Release 19,R1-2405506,
9.3.1,Rel-19,RAN1#119_Schedule,
8.3,Rel-18,R1-2401594,
9.7.1,Rel-19,R1-2409717,
,Rel-18,R1-2401722,
9.1.4.2,Rel-19,R1-2409503,
5,Rel-18,R1-2409623,
9.7.2,3GPP TSG-RAN WG1 Meeting #117,R1-2403921,
8.2.2,Rel-18,R1-2406961,
,Rel-18,R1-2401715,
9.4.2.4,Rel-19,R1-2401331,
9.1.3.1,Rel-19,R1-2406639,
9.3.3,Rel-19,R1-2400689,
9.2.2,Rel-19,R1-2410752,
9.7.2,Not specified,R1-2400505,
CR-0627,Rel-18,R1-2405537,
NR_eMIMO-Core,18,R1-2403773,
9.2.3,Rel-18,R1-2402560,
9.4.2.4,Rel-19,R1-2409685,
9.1.4.2,Rel-19,R1-2410031,
9.5,Rel-19,R1-2401143,
9.5.2,Rel-19,R1-2410522,
5,Rel-18,R1-2407006,
9.2.3,Rel-19,R1-2407963,
8.2,3GPP Release unspecified,R1-2403537,
9.2.4,Release 19,R1-2409769,
,Rel-16,R1-2401286,
9.6.3,Release 18,R1-2407915,
9.4.2.3,Rel-19,R1-2404777,
,Rel-19,R1-2410107,
9.1.3.1,Rel-19,R1-2400046,
9.1.4.1,Rel-17,R1-2403355,
9.5.1,Rel-19,R1-2404183,
,Release 18,R1-2404244,
8.12.4,Rel-18,R1-2400137,
9.11.5,Release 19,R1-2409440,
9.5.2,Rel-18,R1-2406939,
9.1.3.1,Rel-18,R1-2406342,
9.3.2,Release 18,R1-2403018,
5,Rel-18,R1-2404983,
9.3.3,Rel-19,R1-2407626,
5.1.5,Rel-17,R1-2405466,
9.4.1.1,Rel-19,R1-2410000,
8.2,Release 18+,R1-2403104,
8.6,Rel-18,R1-2401850,
9.4.2.2,3GPP Release 18,R1-2406406,
8.3,Rel-18,R1-2401549,
9.4.2.3,Unknown,R1-2402076,
5,Rel-18,R1-2401379,
9.5.1,Release 19,R1-2408855,
9.11.2,Rel-19,R1-2408664,
,REL-18,S5-242198,
9.1.3.2,Release 19,R1-2402233,
9.6.1,Rel-19,R1-2401208,
9.6.2,Rel-19,R1-2402000,
9.5.2,Rel-19,R1-2406516,
Not specified,Rel-18,R1-2403360,
9.9.1,Rel-19,R1-2406063,
5.1.6.5.2,Rel-18,R1-2404153,
9.11.3,Rel-19,R1-2405840,
9.4.1.1,Release 18,R1-2410828,
NR_MBS_enh-Core,Rel-18,R1-2406114,
9.11.3,Rel-19,R1-2400824,
9.12.1,Rel-19,R1-2410500,
9.11.3,Release 19,R1-2410081,
9.2.3,Rel-19,RAN1#119-Schedule,
9.6.2,Release 19,R1-2405807,
9.6.2,Rel-19,R1-2409645,
9.11.5,Future Release (Post-Rel-17),R1-2408400,
9.5.2,Rel-19,R1-2408377,
9.1.3.2,Rel-19,R1-2406495,
9.11.1,Rel-19,R1-2407765,
RP-240826,Release 19,38.769,
NR_pos_enh2-Core,Rel-18,R1-2404986,
9.5.3,Rel-19,R1-2404691,
9.11.3,Release 19,R1-2408489,
9.7.1,Rel-19,R1-2406873,
7.1,Rel-16/17/18,R1-2401700,
9.4.2.1,Rel-19,R1-2408410,
9.12.1,Rel-19,R1-2408038,
9.1.1,Release 19,R1-2400683,
9.5.2,Rel-19,R1-2402473,
9.3.3,Rel-19,R1-2406716,
9.11.2,Rel-19,R1-2409884,
8.1,Rel-18,R1-2404790,
9.3.2,Rel-19,R1-2406750,
9.3.1,Rel-19,R1-2409566,
9.9.1,Rel-19,R1-2410188,
9.2.1,Rel-18,R1-2400161,
8.1,Rel-18,R1-2410805,
FS_AmbientIoT,Rel-19,R1-2408064,
9.2.1,Rel-19,R1-2410035,
9.7,Rel-19,R1-2404631,
9.6.2,Rel-19,R1-2406538,
7,Rel-17,R1-2410686,
9.10.1,Rel-19,R1-2408682,
9.10.1,Rel-19,R1-2404606,
9.7,Rel-18/19,RAN1#119 Chair's Notes,
9.2.4,Rel-19,R1-2405878,
9.6.2,Rel-19,R1-2409547,
9.6.3,Rel-19,R1-2410363,
8.1,Rel-18,R1-2409705,
9.2.3,Rel-19,R1-2400472,
9.4.1.1,Release 19,R19 A-IoT,
AI 7,Release 19,RAN1#118bis-Schedule,
57-1,Rel-18,R1-2405566,
9.7.2,Rel-19,R1-2408387,
6,Release 19,RAN1#118bis Schedule,
5,Rel-18,R1-2403361,
9.10.1,Rel-19,R1-2402028,
9.3.1,Rel-19,R1-2400432,
7,Rel-17,R1-2407414,
NR_SL_enh2-Core,Rel-18,R1-2403580,
9.11.2,Release 19,R1-2401300,
9.1.4.1,Release 19,R1-2407799,
9.7.1,,R1-2400898,
9.4.2.4,Rel-19,R1-2400666,
9.4.2.2,Rel-19,R1-2405381,
9.11.3,Rel-19,R1-2400134,
9.2.3,Rel-19,R1-2401579,
NR_FeMIMO-Core,Rel-18,R1-2409138,
9.2.2,Rel-19,R1-2400772,
9.1.1,Rel-18,R1-2406172,
9.5.1,Rel-18,R1-2407792,
9.7.2,Rel-18,R1-2403965,
NR_MIMO_evo_DL_UL-Core,Rel-18,R1-2409384,
9.6.2,3GPP,R1-2404706,
9.3.1,Rel-18/19,R1-2403369,
,Rel-18,38.213,
8.5,Rel-18,R1-2400581,
9.1.2,Release 18 and 19,R1-2407585,
9.8.1,Rel-19,R1-2405884,
9.2.3,Rel-19,R1-2406646,
9.5.2,Release 19,R1-2404033,
9.3.3,Rel-19,R1-2406837,
8.5.2,Rel-18,R1-2403695,
9.2.4,Rel-19,R1-2405038,
9.10,Rel-18/19,R1-2407585,
9.4.1.2,Rel-19,R1-2403859,
9.2.3,Rel-19,R1-2408768,
9.2.2,Release 19,R1-2405255,
9.4.2.4,Rel-18/Rel-19,R1-2407585,
,Rel-18,R1-2405629,
NR_pos_enh2-Core,Rel-18,R1-23xxxxx,
9.1.3.1,Rel-19,R1-2400694,
8.12.6,Rel-18,R1-2401000,
9.3.1,Release 18,R1-2408593,
9.1.2,Rel-19,R1-2410217,
9.4.2.2,Rel-18,R1-2401446,
9.1.3,Rel-18/19,R1-2410673,
9.1.3.2,Release 18/19,R1-2401110,
9.5.2,Unknown,R1-2402691,
9.9.1,Rel-18,R1-2408542,
9.7.2,Release 19,R1-2410235,
9.4.2.3,Release 18,R1-2403844,
,Rel-18,R1-2409974,
9.4.2.1,Rel-19,R1-2401265,
NR_pos_enh2-Core,Rel-18,R1-2402037,
9.2.3,Rel-19,R1-2401438,
9.5.2,R19,R1-2407867,
9.2.2,Rel-19,R1-2407074,
9.6.1,Release 19,R1-2401317,
9.6.2,Rel-19,R1-2400884,
9.4.2.3,Rel-19,R1-2404290,
8.2,Rel-18,R1-2401622,
9.11.2,Rel-19,R1-2403039,
9.4.1.2,Rel-19,R1-2400088,
9.10.1,Release 18,R1-2405929,
9.7.1,Rel-19,R1-2402914,
9.5.1,Release 19,R1-2403250,
7,Rel-17 and beyond,R1-2403167,
9.4.1.1,Release 18,R1-2409124,
9.2.2,Rel-19,R1-2404883,
9.4.1.1,Release 18,R1-2408930,
9.2.4,Rel-19,R1-2401491,
9.2.1,Rel-19,R1-2406925,
9.11.1,Release 19,R1-2401843,
9.1,Release 19,R1-2407585,
9.6.1,Release 18/19,R1-2409546,
9.4.1.1,3GPP TSG RAN WG1 #118,R1-2405938,
9.6.2,Rel-19,R1-2409521,
NR_Mob_enh2-Core,Rel-18,R1-2410599,
9.6.3,Release 18,R1-2402576,
8.2,Rel-18,R1-2401509,
8.2,Rel-18,R1-2403170,
9.2.3,,R1-2410155,
9.6.1,Rel-19,R1-2404579,
9.11.4,Release 19,R1-2409872,
NR_MIMO_evo_DL_UL-Core,Rel-18,R1-2401889,
Rel-16 URLLC,Pre-Rel-18 NR maintenance,R1-24xxxxx,
9.1.3.1,Release 19,R1-2406465,
9.11.4,Rel-19,R1-2401195,
8.1,Rel-18,R1-2405401,
9.7.2,Rel-19,R1-2404477,
,Rel-18,R1-2407387,
NR_MC_enh-Core,Rel-18,R1-2408970,
9.4.1.2,Rel-19,R1-2407668,
5,,R1-2409924,
7.1,Rel-16,R1-2400701,
NR_Mob_enh2,Rel-18,R1-2403685,
5,Rel-17/18,R1-2405400,
9.8.1,Rel-19,R1-2408799,
9.11.1,Release 19,R1-2405834,
NR_eMIMO-Core,17,R1-2403772,
9.4.2.2,Rel-19,R1-2408370,
8.1,Rel-18,R1-2406630,
8.1,Rel-18,R1-24xxxxx,
CR xxxx,Rel-18,R1-2408246,
9.6,Rel-19,R1-2407585,
,Rel-17,R1-2405190,
9.11.1,Rel-19,R1-2402259,
NR_SL_enh2-Core,Rel-18,R1-2410857,
9.4.2.3,3GPP Release 18,R1-2407763,
9.6.1,Rel-18 or later,R1-2400813,
5,,R1-2400308,
Netw_Energy_NR-Core,Rel-18,R1-2403288,
9.4.1.1,Release 19,R1-2402666,
9.3.2,Release 19,R1-2403468,
9.6.1,Release 18,R1-2407287,
9.10.1,Rel-19,R1-2407162,
9.6.3,,R1-2400497,
9.4.2.1,Rel-19,R1-2410092,
9.2.3,Rel-18,R1-2407994,
8.4,Rel-18,R1-2402409,
9.1.3.3,Rel-19,R1-2403492,
NR_redcap_enh-Core,Rel-18,R1-2402055,
9.6.2,Rel-19,R1-2405109,
8.1,Release 18,R1-2406601,
9.11.4,Release 18,R1-2408138,
9.3.3,Release 18,R1-2403058,
10.1,Rel-18,R1-2404928,
8.12.5,Rel-18,R1-2400416,
8.2.1,Rel-18,R1-2403918,
8.6,Rel-18,R1-2400359,
9.1,Rel-18/19,RAN1#119 Chair's Notes,
Rel-19_WI_SBFD,Rel-19,R1-2410325,
9.2.2,Rel-19,R1-2404278,
9.4.2.2,Rel-19,R1-2410166,
9.2.4,Rel-19,R1-2410651,
5.2.2.5,Rel-16,R1-2401688,
,Rel-18,R1-2405635,
9.3.2,Rel-19,R1-2401295,
9.5.3,Rel-19,R1-2408501,
9.3.1,Release 18+,R1-2404865,
9.2.1,Release 19,R1-2400848,
9.3.3,Rel-19,R1-2401634,
NR_AIML_air-Core,Release 19,R1-2407829,
6,R19,RAN1#118bis,
9.1.4.2,Rel-19,R1-2409171,
9.9,Release 19,R1-2409340,
9.4.2.2,Release 18,R1-2401231,
5,Rel-17/Rel-18,R1-2404826,
8.12.1,Rel-18,R1-2400314,
9.11.1,Rel-18,R1-2406275,
9.12,,R1-2409075,
9.8.2,3GPP Release 18,R1-2407290,
9.5.3,Rel-19,R1-2406807,
8.6,Release 18,R1-2400593,
9.3.2,Rel-19,R1-2403242,
9,Rel-18/Rel-19,R1-2409341,
7,"Rel-17 New RAT, TEI",R1-2410602,
5,Rel-19,R1-2409911,
8.2,Rel-18,R1-2409579,
9,Rel-18/19,R1-2407585,
9.4.2.2,Rel-19,R1-2404519,
9.2.2,Release 19,R1-2401045,
9.7.1,Rel-18,R1-2402815,
8.1,18,R1-2402550,
8.8,Rel-18,R1-2400654,
9.6.2,Release 18,R1-2402611,
9.6.2,Rel-19,R1-2400124,
9.1.4,Rel-18,R1-2410623,
9.5.2,Rel-19,R1-2408910,
9.6.2,3GPP Release 18+,R1-2404782,
9.7.2,3GPP Release 19,R1-2402980,
9.5.3,Rel-19,R1-2409643,
9.8.2,Release 19,R1-2409442,
9.9.1,Rel-19,R1-2408358,
NR_MIMO_evo_DL_UL,Rel-18,R1-2409578,
9.3.2,Rel-19,R1-2409411,
9.11.4,Rel-19,R1-2409653,
9.2.1,Release 18 and 19,R1-2407585,
7,Rel-17,R1-2409191,
9.4.1.2,Rel-19,R1-2402012,
9.1.2.1,Rel-17,R1-2401886,
9.4.2.4,Rel-19,R1-2408469,
,Rel-18,R1-2404232,
9.4.2.4,3GPP TSG RAN WG1 #118b,R1-2407630,
5.1.5,Rel-17,R1-2409267,
9.11.3,Rel-19,R1-2410497,
9.6.3,Rel-18,R1-2409691,
9.3.3,Rel-19,R1-2404176,
8.2.1,Rel-18,R1-2405028,
9.2.1,Release 19,R1-2402659,
Rel-19 WI: Evolution of NR Duplex Operation,Rel-19,R1-2408588,
9.4.2.1,Rel-19,R1-2406372,
9.1.1,Rel-19,R1-2403006,
NR_SmallData_INACTIVE-Core,Rel-17,R1-2405709,
9.7.1,R19,RAN1#119,
9.1.4.1,Release 19,R1-2407940,
9.6.3,Rel-19,R1-2410358,
9.1.3.1,Rel-19,R1-2402848,
9.3.1,Rel-19,R1-2404425,
5,3GPP Release 17+,R1-2407221,
NR_XR_enh-Core,Rel-18,R1-2405198,
8.4,Rel-18,R1-2403542,
8.8,Rel-18,R1-2401802,
8.3,Rel-18,R1-2401547,
9.7.2,Release 19,R1-2410321,
5,Release 19,R1-2410143,
9.4.1.1,Rel-19,R1-2402011,
9.10.1,Rel-19,R1-2406274,
,Release 18,R1-2400986,
9.3.1,Rel-18/19,R1-2402807,
9.1.3,3GPP Release 18,R1-2409236,
9.4.1.2,Release 19,R1-2402968,
9.7.1,Rel-19,R1-2400953,
9.5,Rel-18/19,R1-2407585,
9.12,NR Phase 2,R1-2410849,
9.5.1,Rel-19,R1-2410550,
8.1,Rel-18,R1-2403169,
9.7.2,Unknown,R1-2400645,
6.3,Rel-18,R1-2405544,
7,Pre-Rel18,R1-2405737,
5,Rel-19,R1-2409657,
8.1,Rel-18,R1-2409340,
,Rel-18,R1-2408981,
7.1,Rel-18/19,R1-2401388,
9.4.2.1,Rel-19,R1-2405078,
4,Rel-18/19,R1-2407585,
9.4.1.1,3GPP,R1-2410854,
9.4.2.3,Rel-19,R1-2400060,
9.11.4,Rel-19,R1-2409617,
9.2.2,Rel-19,R1-2402459,
9.1.4.1,Rel-19,R1-2408633,
9.3.2,Release 18,R1-2408143,
9.11.2,Release 19,R1-2401030,
9.5.1,Rel-19,R1-2405211,
9.3.1,Rel-19,R1-2404595,
9,Release 19,R1-2409340,
9.2.4,Rel-19,R1-2406748,
8.1,Rel-18,R1-2410597,
8.1,Rel-18,R1-2405367,
9.6,Rel-18/Rel-19,R1-2407585,
8.12.4,Rel-18,R1-2401141,
9.11.2,Rel-19,R1-2406755,
8.1,Rel-18,R1-2404233,
9.11.3,Release 18,R1-2407817,
9.3.1,Rel-18,R1-2405259,
9.11.2,Rel-19,R1-2404133,
9.3.3,Rel-18,R1-2402927,
8.1,Rel-18,R1-2407232,
7.1,Release 16,R1-2401687,
9.1.1,Rel-19,R1-2408749,
8.1,3GPP Rel-18,R1-2405622,
9.1.1,Rel-18,R1-2405975,
38.214 CR 0650,Rel-18,R1-2410864,
9.3.1,Rel-18,R1-2403071,
9.3.3,Release 19,R1-24xxxxx,
7,Rel-16 LTE NR DC/CA,R1-2410608,
9.4.2.4,Rel-18,R1-2405992,
8.5.2,Rel-18,R1-2403432,
9.5.3,Release 19,R1-2402573,
9.5.3,Rel-19,R1-2400337,
9.3.1,Rel-18/19,R1-2400838,
NR_MIMO_evo_DL_UL-Core,Rel-18,R1-2409194,
9.3.3,Rel-19,R1-2408144,
9.6.1,Release 18,R1-2407634,
NR_MIMO_evo_DL_UL-Core,Rel-18,R1-2407529,
8.1,3GPP Release unspecified,R1-2406041,
NR_pos_enh2-Core,Rel-18,R1-2404990,
9.6.1,Rel-19,R1-2400743,
9.2.1,Rel-19,R1-2402982,
9.4.1.2,Rel-19,R1-2403102,
9.6.3,Release 18,R1-2400964,
9.4.2.4,Rel-19,R1-2402189,
9.11.1,Release 18,R1-2407118,
8.2.1,Rel-18,R1-2405570,
9.4.2.3,Rel-18,R1-2406457,
P9,Rel-18,R1-2404256,
