contributor_name,doc_id,contribution_type
AT&T,R1-2410820,Session Notes
KT Corp.,R1-2408321,Discussion and decision proposal
Ericsson,R1-2402983,CR Proposal
OPPO,R1-2407244,PSSCH decoding behavior CR
CEWiT,R1-2407089,Discussion and Decision
"InterDigital, Inc.",R1-2402091,Contribution
OPPO,R1-2402346,Technical Contribution
Apple,R1-2401610,Reply LS
Intel Corporation,R1-2408293,Technical Proposal
Qualcomm,R1-2405140,Change Request
CATT,R1-2406333,CR Proposal
"NTT DOCOMO, INC.",R1-2410407,Technical Contribution
HiSilicon,R1-2400104,Contribution
Ericsson,38.214 CR XXX,CR Supporter
CMCC,R1-2407916,Technical Analysis
Nokia,R1-2400969,Discussion and Decision
Google,R1-2401260,Discussion
Ericsson,R1-2407296,Technical Analysis
vivo,R1-2407866,Technical Proposal
Nokia Shanghai Bell,R1-2409766,Technical Proposal
RAN4,R4-2403657,Technical Response
CATT,R1-2408019,Technical Contribution
Spreadtrum,R1-2409633,Technical Contribution
Spreadtrum Communications,R1-2407544,Moderator Summary
AT&T,R1-2406870,Discussion Document
Samsung,R1-2409281,Contributor
LG Electronics,R1-2406060,Technical Contribution
ASUSTeK,R1-2410409,Discussion and Decision
Ericsson,R1-2408912,Source
Fraunhofer IIS,R1-2408600,System Design
Sharp,R1-2402407,Technical analysis
Huawei,R1-2401677,Proposals on CFRA/CBRA support
New H3C,R1-2409376,Technical Contribution
Ericsson,R1-2407412,Moderator
MediaTek,R1-2410677,Moderator Summary
Tejas Networks Ltd,R1-2402405,Source
Huawei,R1-2401753,Moderator
Transsion Holdings,R1-2409967,Proposals on SSB/PRACH adaptation
Transsion Holdings,R1-2409966,Technical Proposal
Ericsson,R1-2407640,Technical Contribution
MediaTek Inc.,R1-240XXXX,LS Moderator
"NTT DOCOMO, INC.",R1-2406942,Discussion and decision proposal
Ericsson,R1-2407277,Moderator
HiSilicon,R1-2402015,Technical Proposal
Huawei,R1-2403656,Ad-Hoc Chair
Ericsson,R1-2410615,Reply LS
CMCC,R1-2404453,Discussion & Decision
ZTE,R1-2400291,Technical Contribution
CATT,R1-2400438,Technical Contribution
ZTE,R1-2404555,Technical Analysis
Google Inc.,R1-2401081,Technical Proposal
Qualcomm,R1-2410711,Source
TCL,R1-2400267,Technical Proposal
MediaTek Inc.,R1-2405450,Moderator Summary
Spreadtrum Communications,R1-2405913,Technical contribution
Samsung,R1-2409593,Discussion
HiSilicon,R1-2400139,Technical Proposal
"NTT DOCOMO, INC.",R1-2403249,Contribution
NEC,R1-2407514,Moderator Summary
Huawei,R1-2410831,Moderator
Ericsson,R1-2405634,Source
HiSilicon,R1-2405707,Technical contribution
Qualcomm Incorporated,R1-2407038,Technical Analysis
Ericsson,R1-2400753,Technical Proposal
Spreadtrum Communications,R1-2407699,Discussion and decision
Huawei,R1-2409428,Technical Proposal
"InterDigital, Inc.",R1-2408189,Technical Proposal
MediaTek Inc.,R1-2410516,Technical Contribution
ZTE Corporation,R1-2406957,Source
Panasonic,R1-2402541,Technical Proposal
Xiaomi,R1-2401495,Moderator Summary
AT&T,R1-2410338,Moderator Summary
Sharp,R1-2410359,Discussion/Decision Document
Nokia,R1-2408947,Reply LS
Nokia,R1-2405661,Source
ASUSTeK,R1-2408890,Technical Proposal
Feifei Sun,R1-2410898,Contact Person
Intel Corporation,R1-2407255,Moderator Summary
ZTE,R1-2401707,Moderator
HONOR,R1-2408235,Technical Proposal
vivo,R1-2407404,Moderator/FLS
ZTE Corporation,R1-2409229,"CRs on TS 38.213/214 (R1-2408512, R1-2408513)"
MediaTek,R1-2407213,Moderator
Apple Inc.,R1-2409804,Contribution
MediaTek Inc.,R1-2409073,Moderator Summary
Fujitsu,R1-2407444,Moderator Summary
Fujitsu,R1-2410134,Discussion/Decision
LG Electronics,R1-2400919,Discussion and Decision
LG Electronics,R1-2401675,Moderator Summary
OPPO,R1-2400618,Contribution
Huawei,R1-2403557,Moderator
Ericsson,R1-2408735,Technical Analysis
LG Electronics,R1-2402418,Source
Samsung,R1-2405764,Change Proposal
Samsung,R1-2404106,Source
ZTE,R1-2406045,Moderator
Ericsson,R1-2408906,Source/Contribution
Ericsson,R1-2405623,Source
NTT DOCOMO,R1-2403854,Proposal 2.1 (TS 38.212 corrections)
CMCC,R1-2403815,Moderator
Spreadtrum Communications,R1-2404040,Contribution
LG Electronics,R1-2401622,Moderator Summary
TCL,R1-2408226,Contribution
vivo,R1-2405708,Moderator
Indian Institute of Technology Kanpur,R1-2403398,Technical Analysis
NTPU,R1-2401474,Source
KT Corp.,R1-2403138,Contribution
CATT,R1-2404374,Technical Contribution
CATT,R1-2409925,Technical Analysis
Sharp,R1-2405066,Technical Proposal
Fujitsu,R1-2404593,Technical Analysis/Proposals
Samsung,R1-2406665,Discussion Document
NTT DOCOMO INC,R1-2408198,CR Source
ZTE Corporation,R1-2406952,Reply LS
Sharp,R1-2406969,Discussion
Tiami Networks,R1-2408720,Technical Proposal
Qualcomm Incorporated,R1-2403185,Discussion and Decision
CATT,R1-2402375,Technical Contribution
Lenovo,R1-2400833,Technical Contribution
Google,R1-2403090,Discussion
MediaTek Inc.,R1-2400508,Technical Contribution
SK Telecom,R1-2406683,Technical Analysis and Proposal
ZTE Corporation,R1-2409384,CR Proposal
OPPO,R1-2407542,Source
TCL,R1-2406901,Discussion and Decision
Panasonic,R1-2408361,Source
Spark NZ Ltd,R1-2404331,Source
CMCC,R1-2407925,Discussion & Decision
Sanechips,R1-2407402,Contributor
3GPP,CR-Form.zip,Template Maintainer
Huawei,R1-2408974,CR Source
Nokia,R1-2405260,Discussion and Decision
Indian Institute of Technology Kanpur,R1-2405297,Technical Analysis
OPPO,R1-2402321,Technical Proposal
MediaTek Inc.,R1-2407927,Technical Analysis
NVIDIA,R1-2408389,Source
Qualcomm Incorporated,R1-2403576,Technical Proposal
TCL,R1-2404059,Contribution/Discussion
IIT Kanpur,R1-2408942,Source
Fraunhofer IIS,R1-2407765,Technical Analysis
MediaTek Inc.,R1-2401310,Technical Proposal
NEC,R1-2408220,Discussion and Decision
Qualcomm Incorporated,R1-2403208,Source
vivo,R1-2400254,Discussion and Decision
Samsung,R1-2409617,Source
Ericsson,R1-2406134,Technical Contribution
Ericsson,R1-2405824,Technical Contribution
Samsung,R1-2408629,Draft CR on power control
vivo,R1-2405380,Moderator
"NTT DOCOMO, INC.",R1-2406933,Discussion and Proposal
OPPO,R1-2401755,Contribution
Sony,R1-2407124,Technical Contribution
ZTE,R1-2401493,Technical Analysis
Spreadtrum Communications,R1-2400071,Discussion and decision
Spreadtrum Communications,R1-2404012,Technical analysis
Vodafone,R1-2403003,Technical Proposal
ZTE,R1-2403690,Moderator Summary
InterDigital Inc.,R1-2402693,Discussion
MediaTek Inc.,R1-2402181,Moderator summary
Fujitsu,R1-2408105,Discussion and Decision
ZTE Corporation,R1-2404256,Change Request
Qualcomm,R1-2403531,PRACH spatial domain analysis
Spreadtrum,R1-2400041,CR Proposal
Intel Corporation,R1-2400380,Contribution Document
Langbo,R1-2400680,Source
Panasonic,R1-2410063,Technical Contribution
"Huawei, HiSilicon",R1-2405854,Contribution
Ericsson,R1-2409196,Moderator
KT Corp.,R1-2403137,Discussion and decision proposal
Qualcomm,R1-2407508,Contributor
CMCC,R1-2409216,Session Notes
Samsung,R1-2407535,Contributor
HiSilicon,R1-2400121,Technical Contribution
Lenovo,R1-2402923,Technical Contribution
