name,aliases
Deep Shrestha,
NEC,Peng GUAN|Yukai GAO
SONY,Chen Sun|Yingshuang Bai
Nokia,Nokia Bell Labs
Qualcomm Incorporated,QC
Lenovo/Motorola Mobility,Lenovo/MotM
Industrial Technology Research Institute,ITRI
Orange,
NEC,emea.nec.com
DoCoMo,NTT DoCoMo
Nokia,Moderator
Yunjing Hou,houyunjing@catt.cn
ZTE Corporation,ZTE|Sanechips
Yu Pan,
AT&T,Moderators
Kevin Lin,Kevin Lin
China Broadnet,China broadnet
Tejas Networks Ltd,
LG Electronics,daesung.hwang@lge.com|edison.lee@lge.com|hanjun0128.park@lge.com
LG Uplus,
Moderator (AT&T),AT&T
MediaTek,MediaTek Inc.
"AT&T, FirstNet",AT&T
ITRI,
Tejas Networks,Tejas Networks
Hiromasa Umeda,Nokia
Lenovo,Moderator
Futurewei,FW
Sanechips,Sanechips Tech
Qualcomm Incorporated,Qualcomm Inc.
"New H3C Technologies Co., Ltd.",
NTT DOCOMO,Docomo
Huawei,Yinghao Guo
"Fujitsu, Ericsson, Google, Huawei, HiSilicon, Langbo, Lenovo, New H3C, Nokia, Samsung, ZTE",Moderator (Fujitsu)|Contributing Companies
CSCN,
Spreadtrum Communications,Moderator (Spreadtrum Communications)
Huawei,Huawei|Moderator (Huawei)
Qualcomm Incorporated,
AT&T Labs,Ralf Bendlin
Southeast University,
Kyocera,Kyocera
Huawei,Huawei (TR editor)
"OPPO, Huawei, HiSilicon, LG Electronics",OPPO|LG
KT,KT Corp.
TSG RAN,RAN
KDDI Corporation,
Huawei/HiSilicon,Keyvan Zarifi|Fanbo
RAN1 Chair,RAN1 Chair|ETSI MCC
Junqiang Cheng,
Futurewei,
Nokia Shanghai Bell,
Jianxiang Li,
Fraunhofer IIS/HHI,
MediaTek Inc,Moderator (MediaTek Inc)
III,
Ericsson,Moderator(Ericsson)
NVIDIA Corporation,NVIDIA
"vivo Communication Technology Co., Ltd",vivo
Fraunhofer IIS,Fraunhofer Institute for Integrated Circuits IIS
OPPO,Kevin Lin
NICT,
OPPO,
HiSilicon,HiSilicon Semiconductor
Moderator (vivo),
Shichang Zhang,
TCL,TCL Communication Ltd.
CMCC,China Southern Power Grid
China Telecom,China Telecom
Samsung,Samsung Electronics
Huawei,Huawei|HiSilicon
Google,Google
CATT,
CMCC,Yi Zheng Jiazhen Zhang
Qianxi Lu,
"NTT DOCOMO, INC.",Docomo
Company,Company
Futurewei,Huawei
NTT DOCOMO,
Hisilicon,Hisilicon
Shuaihua Kou,
LG Electronics,LGe
Hiroki Harada,NTT Docomo
Indian Institute of Technology MADRAS (IITM),IITM
CICICI,
Nokia,Mihai Enescu|Youngsoo Yuk
RUijie Networks,RUijie
Qualcomm (QC),QC
Lenovo,Motorola
Samsung,RAN1
KDDI,
Fujitsu,Fujitsu Limited
Huawei/HiSi,Thorsten Schier
LG Electronics,[9]
MediaTek Inc. (MTK),MTK
Charter Communications,Charter
RAN3,3GPP RAN Working Group 3
Nokia Shanghai Bell,Nokia Shanghai Bell
OPPO,Kevin Lin|Kevin.Lin@oppo.com
CICTCI,
Lenovo,Moderator (Lenovo)
Qualcomm Incorporated,Qualcomm|QC
UNISOC,
NTT DOCOMO,DoCoMo
ETRI,ETRI
Nokia,Nokia[RAN1]
Qualcomm,qti.qualcomm.com
Huawei,Moderator
CMCC,China Mobile
New H3C,New H3C Technologies
ETRI,Cheulsoon Kim
CAICT,
ASUSTek,ASUS
FL (Qualcomm),Qualcomm
Qualcomm,FL (Qualcomm)
HiSilicon,HiSilicon
China Academy of Telecommunications Technology,CATT
Ericsson,[RAN1]
Nordic Semiconductor ASA,Nordic Semiconductor
"InterDigital, Inc",
"Indian Institute of Technology Madras (IITM), IIT Kanpur",IITM|IIT Kanpur
Lenovo,Lenovo Group
"Moderators (AT&T, NTT DOCOMO, INC.)","AT&T|NTT DOCOMO, INC."
China Information Communication Technologies Group Corporation,CICT
NEC,Hassan Al-Kanani
Indian Institute of Technology Kanpur and Indian Institute of Technology Madras,IIT Kanpur|IITM
HiSilicon,Huawei
NTT DOCOMO. INC,DOCOMO
"CATT, CICTCI",China Academy of Telecommunications Technology|CICT
Toyota ITC,
Qualcomm,Wooseok Nam
vivo,vivo[RAN1]
Nathan Tenny,
