source_doc_id,cited_doc_id,type_of_reference,details
R1-2410444,38.869,Technical Report,Study on low-power wake-up receiver requirements
R1-2409215,R1-2409253,CR,Endorsed correction to TS38.214 Clause 6.2.1
R1-2409239,RP-241824,Rel-19 Work Item,Rel-19 WI on LP-WUS/WUR requirements
R1-2407655,RAN1#118,Chair's Notes,Discussions on associated ID support for beam management
R1-2400760,RP-234069,Study Item,New SID on ISAC channel modelling approved at RAN#102
R1-2403885,TR 38.848,Technical Report,Study on A-IoT characteristics and deployment scenarios
R1-2409191,R1-2408012,Citation,Draft CR on determination of SRS power control parameters in unified TCI framework.
R1-2410688,TS 38.108,Specification,Defines NTN satellite operating bands in FR1
R1-2408752,RAN1#117 Draft Minutes,Meeting Minutes,Previous agreements on RACH configuration options
R1-2400069,Willis 2005,Textbook,Bistatic radar theory reference
R1-2405804,RP-240826,Study Item Description,Revised SID on Ambient IoT objectives and scope
R1-2407081,TR 38.864,Technical Report,Study conclusions on network energy saving techniques
R1-2406778,RP-234775,Work Item Description,New WID: Non-Terrestrial Networks (NTN) for NR Phase 3.
R1-2401236,TR 38.869,Study Phase Results,SI phase conclusions on power savings and monitoring modes
R1-2409529,RP-241667,Related Work,"Revised WID for NTN Phase 3, defining OCC enhancement objectives."
R1-2407759,RP-234065,Work Item Description,"New WID: Enhancements of network energy savings for NR (Ericsson, Dec 2023)"
R1-2401705,RP-234069,Parent SID,Rel-19 Study on ISAC Channel Modeling
R1-2404605,RP-234039,Related Work,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2407930,R1-2407606,Liaison Statement,LS on correction for network verification of UE location
R1-2408128,TS 38.214,Normative,Defines processing time requirements for shared COT (Table 8.1.4-1).
R1-2402493,TS 38.213,Normative,Clause 8.1 association pattern period reference
R1-2406848,RP-241650,Work Item,Revised WID for Release 19 network energy savings enhancements
R2-2406148,R2-2400020,Response to,Original LS on Rel-18 parameter lists
R1-2407951,TR 38.843,Technical Report,SI report on AI/ML for NR positioning
R1-2410750,R1-2104135,Precedent CR,Previous MCS table parameter correction
R1-2401399,38.213,Technical Specification,NR Physical Layer Procedures for Control
R1-2406958,TR 21.900,Technical Report,Referenced for CR categorization guidelines
R1-2409981,R1-2407663,Contribution,Huawei/HiSilicon's analysis of OCC performance.
R1-2407314,38.214,Technical Specification,3GPP TS 38.214 NR Physical layer procedures for data
R1-2405865,R1-2402009,Previous contribution,Earlier channel model validation considerations from RAN1#116-bis
R1-2400450,TS28.105,Technical Specification,Rel-18 AI/ML management specifications
R1-2401545,RP-234039,Work Item Description,WID for AI/ML-based positioning enhancements
R1-2408362,RP-242389,Related Work,LS on AIML data collection procedures
R1-2401590,R1-2400040,Contribution,Remaining issues on Multi-Carrier Enhancements
R1-2400739,R1-2400734,Related Contribution,Considerations for evaluation assumptions and results
R1-2409434,RP-241667,Revised WID,NR-NTN Phase 3 Work Item Description
R1-2401440,RP-234035,Work Item Description,Approved work item on NR duplex evolution
R1-2405207,RP-234065,Technical Report,New WID: Enhancements of network energy savings for NR
R1-2404022,R1-116b Report,Meeting Report,Draft report of RAN WG1 #116b with prior agreements on PL offset mechanisms.
R1-2404111,RAN1#116,Meeting Note,Previous RAN1 agreements on TCI framework
R1-2410128,TR 38.769,Technical Report,Study on solutions for Ambient IoT in NR Release 19
R1-2406649,RP-241614,Work Item Description,Revised WID for NR duplex evolution including SBFD objectives
R1-2404259,38.300,Technical Specification,Overall description of cell switching procedures
R1-2405978,38.843,Technical Report,TR 38.843 v2.0.0 on AI/ML for NR air interface
R1-2410233,RP-241824,Work Item,Approved LP-WUS/WUR work item description.
R1-2402063,RP-234007,Normative,Rel-19 WID on NR MIMO Phase 5 approval
R1-2410605,R1-2409347,Liaison Statement,RAN2 LS triggering this analysis on 12-PRB configurations.
R1-2408549,R2-2407848,LS,Original query from RAN WG2 about functionality reporting
R1-2404788,R1-2403837,Liaison Statement,RAN2 LS on SSB-TimeOffset reference point configuration
R1-2409006,RP-234058,Study Item,New SID on Ambient IoT approved at RAN#102
R1-2409231,38.331,Technical Specification,Defines atg-gNB-Location parameter for ATG configuration
R1-2401857,R1-2400003,Contribution,Guidelines for offline discussions and input to FL summary.
R1-2409538,RAN1#116,Meeting Minutes,Agreements on SBFD symbol configurations and UE behavior.
R1-2402706,RP-223549,Study Item Description,New SID: Study on solutions for Ambient IoT in NR
R1-2401071,38.214,Technical Specification,Modified clause 6.2.1.4 for SRS transmission rules
R1-2403347,TS 38.321,Citation,MAC CE command structure reference
R1-2402132,R1-2400504,Related Contribution,Deployment scenarios for ISAC channel modeling
R1-2403142,R1-2401768,Session Notes,Previous ISAC channel model discussions
R1-2400096,RP-222806,Work Item Dependency,Rel-18 Sidelink Evolution WID defining unlicensed spectrum objectives
R1-2409499,R2-2407848,Liaison Statement,RAN2 LS on applicable functionality reporting for UE-sided models
R1-2402121,RP-234077,Work Item,NTN for IoT Phase 3 Work Item Description
R1-2404457,RP-232944,Work Item,Considerations for Ambient IoT Devices
R1-2402432,R1-2401485,Summary Document,FL Summary 1 for NR DL/UL carrier phase positioning.
R1-2406929,TR 38.858,Technical Report,Study on NR duplex operation and SBFD fundamentals
R1-2403738,R1-2402993,Contribution,Nokia's maintenance proposals on GNSS measurement procedures
R1-2401068,R2-2313848 (R1-2400008),Citation,Original LS on MAC agreements for SL positioning.
R1-2404074,R1-2404075,Companion Contribution,Draft CR for mTRP out-of-order operation
R1-2407050,RP-241667,Citation,Revised WID for NTN Phase 3 defining RedCap/eRedCap support objectives
R1-2401319,RP-234056,Work Item,New WID for LP-WUS/WUR approval at RAN #102
R1-2409827,R1-2409341,Meeting Report,RAN1#118bis agreements on evaluation assumptions
R1-2406200,RP-241515,Work Item Description,Rel-19 WID for LTM enhancements
R1-2402888,RP-234065,Work Item Description,Approved Release 19 work item on network energy savings
R1-2409765,3GPP TR 38.858,Technical Report,Study on NR Duplex Evolution
R1-2407446,R1-2407451,Change Request,CR for PRACH restricted set configuration
R1-2400324,RP-234007,Work Item Definition,Rel-19 WID for NR MIMO Phase 5 enhancements
R1-2403724,38.213,Technical Specification,Main specification being amended (NR Physical Layer Procedures)
R1-2410932,38.211,Parent Specification,NR physical channels and modulation
R1-2404092,R1-2404093,Companion Contribution,Draft CR on BFD RS set determination under eUTCI
R1-2405912,TS 38.212,Technical Specification,NR Multiplexing and channel coding
R1-2401236,RP-234056,Work Item Definition,Approved WID for LP-WUS/WUR standardization in Rel-19
R1-2406587,TR 38.843,Technical Report,Study on AI/ML for NR air interface
R1-2408596,RP-240826,Revised Study Item,Ambient IoT solutions in NR approved at RAN#103
R1-2406225,R1-2405611,Contribution,Summary of RAN1 #117 discussions on UE feature framework
R1-2403359,R1-2401701,Citation,Moderator summary of previous TB-less PUSCH discussions
R1-2405005,R1-2400753,Contribution,Previous Ericsson proposal on CSI enhancements
